INP,CLS,TBT,LCP, PeakHeap
16.927,0,0,4226.5,33326544
16.42,0,0,4266,44920639
21.687,0,0,3866.5,43209493
20.119,0,0,3906.5,23593414
17.162,0,0,3866.5,28920796
21.018,0,0,4226.5,34348155
18.434,0,0,4226.5,49970393
18.347,0,0,4226.5,62871345
19.81,0,0,4226.5,55479744
16.152,0,0,4226.5,36964147
21.225,0,0,4260,25952586
19.334,0,0,4266.5,44567012
20.532,0,0,4266.5,21148106
19.622,0,0,4226.5,23818929
20.588,0,0,4226.5,26883197
17.205,0,0,4226.5,23595446
18.996,0,0,4226.5,32491269
17.93,0,0,4226.5,35580249
20.139,0,0,4226.5,40191599
18.453,0,0,4226.5,29003899
18.946,0,0,4226.5,30441206
20.746,0,0,4226.5,24205574
19.862,0,0,4226.5,31853829
18.856,0,0,4226.5,23801961
21.074,0,0,4026.5,52612833
20.415,0,0,4106.5,25178378
18.143,0,0,3906.5,30164186
19.1,0,0,3346.5,51207646
21.813,0,0,4266.5,46986808
21.106,0,0,4266.5,33838522
17.771,0,0,4266.5,36961667
20.308,0,0,4226.5,28501181
21.502,0,0,4226.5,30407102
17.817,0,0,4226.5,44202534
20.221,0,0,4226.5,17204703
19.642,0,0,4226.5,17038050
19.463,0,0,4226.5,47588293
19.484,0,0,4226.5,35562202
18.432,0,0,4226.5,40933858
18.25,0,0,4226.5,39415903
19.201,0,0,4226.5,24498056
20.137,0,0,4226.5,26386226
18.272,0,0,4226,32723457
20.053,0,0,4226.5,22366529
20.721,0,0,4226.5,35511048
17.932,0,0,4226.5,26189876
20.616,0,0,4226,41488930
18.091,0,0,4226.5,47642699
18.884,0,0,4226.5,28819517
19.865,0,0,4026.5,17186795
17.357,0,0,4106.5,21490872
19.061,0,0,4166.5,40194303
18.371,0,0,4226.5,47891512
19.018,0,0,4266.5,33986990
20.531,0,0,4226.5,17177196
21.416,0,0,4026.5,41780330
19.622,0,0,4226.5,19988903
19.082,0,0,4226,36011355
18.352,0,0,4226.5,45268168
19.432,0,0,4226.5,21897589
17.767,0,0,4380,38956520
20.512,0,0,4226.5,47319827
17.505,0,0,4226.5,44132683
17.676,0,0,4226.5,27621539
19.872,0,0,4226.5,22369460
18.491,0,0,4226.5,23767450
16.515,0,0,4226.5,31381372
17.663,0,0,4226.5,41916560
17.37,0,0,4226.5,22145677
18.231,0,0,4226.5,36962015
17.852,0,0,4226.5,40788686
17.363,0,0,4226.5,48601637
18.02,0,0,4226.5,50053153
21.917,0,0,4226.5,37582545
17.073,0,0,3586.5,51345925
18.982,0,0,4226.5,22314412
18.042,0,0,4226.5,39014618
18.935,0,0,4266.5,26511097
17.668,0,0,4226.5,47280195
20.448,0,0,4226.5,37703785
19.387,0,0,4226.5,26565559
17.22,0,0,4226.5,50930425
18.008,0,0,4226,41559793
17.111,0,0,4226.5,39180665
18.896,0,0,4226.5,37575356
20.36,0,0,4266.5,24208130
20.654,0,0,4266.5,24219851
19.841,0,0,3506.5,34102956
20.638,0,0,4227,38825508
18.01,0,0,4226.5,53351253
21.031,0,0,4227,33053992
17.609,0,0,4226.5,33736581
20.104,0,0,4226.5,22978051
18.719,0,0,4226.5,25979420
20.111,0,0,4226.5,42733292
19.298,0,0,4226.5,24759644
17.083,0,0,4226.5,50741954
20.139,0,0,4226.5,17045765
19.026,0,0,3766.5,26766333
